id,safra,y,VAR_1,VAR_2,VAR_3,VAR_4,VAR_5,VAR_6,VAR_7,VAR_8,VAR_9,VAR_10,VAR_11,VAR_12,VAR_13,VAR_14,VAR_15,VAR_16,VAR_17,VAR_18,VAR_19,VAR_20,VAR_21,VAR_22,VAR_23,VAR_24,VAR_25,VAR_26,VAR_27,VAR_28,VAR_29,VAR_30,VAR_31,VAR_32,VAR_33,VAR_34,VAR_35,VAR_36,VAR_37,VAR_38,VAR_39,VAR_40,VAR_41,VAR_42,VAR_43,VAR_44,VAR_45,VAR_46,VAR_47,VAR_48,VAR_49,VAR_50,VAR_51,VAR_52,VAR_53,VAR_54,VAR_55,VAR_56,VAR_57,VAR_58,VAR_59,VAR_60,VAR_61,VAR_62,VAR_63,VAR_64,VAR_65,VAR_66,VAR_67,VAR_68,VAR_69,VAR_70,VAR_71,VAR_72,VAR_73,VAR_74,VAR_75,VAR_76,VAR_77,VAR_78
1,201404,0,0.0,0.0,0.0,0.0,124.54,3277.0,51.98,,500.0,153.0,,299.0,73.26,1024.0,26.98,162.0,3000.0,72.0,45.0,8,1279.0,63.0,77.67,492.84,12.0,845.0,,12.0,16.0,500.0,22.0,0.133832912727673,18.0,,,0.0,16.0,220.84,348.0,9.0,9.57,33.0,19.0,11.0,512.82,36.0,0.0,16.0,0.0,159.28,379.0,53.97,3380.0,500.0,159.28,159.28,45,369.0,95.54,-0.0304781166421273,0.0,2508.0,159.28,0,1303.79,8.0,-69.0,16.0,156.38,7.52,0.0,151.0,0.0,3.0,477.84,173.06,0.0,3.0
2,201407,0,64.0,0.0,2.0,1.0,47.92,2443.0,84.72,,1000.0,649.0,,224.0,38.53,,,84.0,,50.0,18.0,12,1063.0,31.0,177.39,335.44,9.0,,842.0,10.0,,1000.0,14.0,0.133832912727673,13.0,,,,,338.9,179.0,5.0,,,19.0,9.0,269.71,,0.0,,,,,,1000.0,2000.0,,,60,228.0,97.73,0.357323965312407,,836.0,,0,1486.26,24.0,,,707.84,,,187.0,,,,184.69,54.0,
3,201405,0,99.0,2.0,2.0,2.0,80.38,1824.0,26.63,,1893.35,346.0,29.98,106.0,,,73.55,8.0,,3.0,2.0,12,116.0,4.0,140.25,362.71,3.0,,597.0,5.0,,1893.35,,0.133832912727673,2.0,,59.97,,,133.17,,4.0,,,3.0,12.0,,,0.0,,,,,294.2,1893.35,1893.35,,,31,264.0,294.57,-0.411786729965823,,,,0,800.27,18.0,,,471.86,,,96.0,,,,732.0,121.98,
5,201403,1,0.0,0.0,0.0,0.0,70.46,437.0,40.69,10.99,2000.0,,62.78,,,288.0,29.58,,,,0.0,12,,0.0,,493.22,0.0,43.0,,0.0,-9.0,2000.0,0.0,0.090634138151029,0.0,10.99,313.91,0.0,-9.0,326.89,,0.0,0.0,-9.0,,0.0,,-9.0,,-16.0,0.0,182.89,288.0,147.94,2946.29,2946.29,182.89,182.89,38,332.0,,-0.231735369185606,,,,1,1457.78,,-272.0,-16.0,,,0.0,75.0,0.0,0.0,914.45,,,0.0
6,201405,0,61.0,0.0,4.0,1.0,,140.0,39.83,55.31,400.0,,,,,,,,,,0.0,10,,0.0,,,0.0,,,0.0,,400.0,,0.0467093416827228,0.0,145.96,,,,278.81,,0.0,,,,0.0,,,,,,,,,400.0,800.0,,,33,,,-0.354107585360257,,,,1,390.54,,,,,,,5.0,,,,,,
7,201404,0,51.0,0.0,0.0,1.0,,218.0,51.48,53.21,953.42,,17.49,,,,,,,,0.0,5,,0.0,,,0.0,,,0.0,,1953.42,,0.0571981886428283,0.0,253.62,69.98,,,199.94,,0.0,,,,0.0,,,,,,,,,953.42,953.42,,,39,,,-0.231735369185606,,,,1,455.63,,,,,,,8.0,,,,,,
8,201409,0,0.0,0.0,0.0,0.0,,301.0,,,800.0,,,,,,26.97,,800.0,,0.0,9,,0.0,,,0.0,,,0.0,,955.94,,0.090634138151029,0.0,,,,,,,0.0,,,,0.0,,,,,,,,26.97,,800.0,,,35,,,-0.30845333657335,,,,1,,,,,,,,301.0,,,,,,
9,201408,0,16.0,0.0,0.0,0.0,65.86,858.0,29.7,25.53,1000.0,211.0,14.32,,,760.0,,0.0,1984.18,,0.0,12,,0.0,42.48,329.32,0.0,378.0,441.0,0.0,,2000.0,0.0,0.133832912727673,0.0,178.71,42.96,,,207.92,,3.0,,20.0,,4.0,,20.0,0.0,,,,760.0,,2936.72,1484.18,,,49,328.0,164.16,0.079926420595367,,,,1,768.69,10.0,,,212.47,13.38,0.0,-49.0,0.0,3.0,,137.86,0.0,3.0
10,201404,0,21.0,0.0,0.0,0.0,65.56,1716.0,55.17,19.99,1200.0,1414.0,74.23,924.0,78.17,601.0,73.99,164.0,2000.0,16.0,7.0,12,682.0,8.0,314.98,327.85,12.0,493.0,375.0,12.0,21.0,1200.0,53.0,0.133832912727673,1.0,39.98,437.63,5.21,,275.93,389.0,12.0,,21.0,32.0,12.0,390.9,21.0,0.0,,,,364.0,369.96,2700.0,2700.0,,,50,326.0,586.4,0.156301087833759,5.21,836.0,260.46,0,1772.41,35.0,,,1655.3,9.74,2.0,42.0,2.0,2.0,,993.93,234.86,2.0
11,201403,0,,,,,,1913.0,,,1000.0,,,313.0,,1290.0,,86.0,1000.0,20.0,12.0,12,272.0,15.0,,,11.0,1144.0,,11.0,-9.0,1000.0,19.0,0.133832912727673,3.0,,,,,,,0.0,,-6.0,21.0,0.0,,-2.0,0.0,,,,650.0,,1000.0,3000.0,,,52,,,0.156301087833759,0.0,836.0,219.54,1,,,-121.0,,,0.0,0.0,1176.0,0.0,0.0,,,,0.0
