id,safra,y,VAR_1,VAR_2,VAR_3,VAR_4,VAR_5,VAR_6,VAR_7,VAR_8,VAR_9,VAR_10,VAR_11,VAR_13,VAR_14,VAR_15,VAR_17,VAR_19,VAR_20,VAR_23,VAR_24,VAR_25,VAR_27,VAR_29,VAR_30,VAR_31,VAR_33,VAR_34,VAR_35,VAR_37,VAR_38,VAR_39,VAR_40,VAR_42,VAR_46,VAR_51,VAR_52,VAR_53,VAR_54,VAR_57,VAR_59,VAR_65,VAR_66,VAR_67,VAR_71,VAR_72,VAR_74,VAR_76,VAR_77
1,201404,0,0.0,0.0,0.0,0.0,124.54,3277.0,51.98,,500.0,153.0,,73.26,1024.0,26.98,3000.0,45.0,8,77.67,492.84,12.0,,16.0,500.0,22.0,18.0,,,16.0,220.84,348.0,9.0,33.0,36.0,379.0,53.97,3380.0,500.0,45,95.54,1303.79,8.0,-69.0,0.0,151.0,3.0,173.06,0.0
2,201407,0,64.0,0.0,2.0,1.0,47.92,2443.0,84.72,,1000.0,649.0,,38.53,,,,18.0,12,177.39,335.44,9.0,842.0,,1000.0,14.0,13.0,,,,338.9,179.0,5.0,,,,,1000.0,2000.0,60,97.73,1486.26,24.0,,,187.0,,184.69,54.0
3,201405,0,99.0,2.0,2.0,2.0,80.38,1824.0,26.63,,1893.35,346.0,29.98,,,73.55,,2.0,12,140.25,362.71,3.0,597.0,,1893.35,,2.0,,59.97,,133.17,,4.0,,,,294.2,1893.35,1893.35,31,294.57,800.27,18.0,,,96.0,,732.0,121.98
5,201403,1,0.0,0.0,0.0,0.0,70.46,437.0,40.69,10.99,2000.0,,62.78,,288.0,29.58,,0.0,12,,493.22,0.0,,-9.0,2000.0,0.0,0.0,10.99,313.91,-9.0,326.89,,0.0,-9.0,-9.0,288.0,147.94,2946.29,2946.29,38,,1457.78,,-272.0,0.0,75.0,0.0,,
6,201405,0,61.0,0.0,4.0,1.0,,140.0,39.83,55.31,400.0,,,,,,,0.0,10,,,0.0,,,400.0,,0.0,145.96,,,278.81,,0.0,,,,,400.0,800.0,33,,390.54,,,,5.0,,,
7,201404,0,51.0,0.0,0.0,1.0,,218.0,51.48,53.21,953.42,,17.49,,,,,0.0,5,,,0.0,,,1953.42,,0.0,253.62,69.98,,199.94,,0.0,,,,,953.42,953.42,39,,455.63,,,,8.0,,,
8,201409,0,0.0,0.0,0.0,0.0,,301.0,,,800.0,,,,,26.97,800.0,0.0,9,,,0.0,,,955.94,,0.0,,,,,,0.0,,,,26.97,,800.0,35,,,,,,301.0,,,
9,201408,0,16.0,0.0,0.0,0.0,65.86,858.0,29.7,25.53,1000.0,211.0,14.32,,760.0,,1984.18,0.0,12,42.48,329.32,0.0,441.0,,2000.0,0.0,0.0,178.71,42.96,,207.92,,3.0,20.0,20.0,760.0,,2936.72,1484.18,49,164.16,768.69,10.0,,0.0,-49.0,3.0,137.86,0.0
10,201404,0,21.0,0.0,0.0,0.0,65.56,1716.0,55.17,19.99,1200.0,1414.0,74.23,78.17,601.0,73.99,2000.0,7.0,12,314.98,327.85,12.0,375.0,21.0,1200.0,53.0,1.0,39.98,437.63,,275.93,389.0,12.0,21.0,21.0,364.0,369.96,2700.0,2700.0,50,586.4,1772.41,35.0,,2.0,42.0,2.0,993.93,234.86
11,201403,0,,,,,,1913.0,,,1000.0,,,,1290.0,,1000.0,12.0,12,,,11.0,,-9.0,1000.0,19.0,3.0,,,,,,0.0,-6.0,-2.0,650.0,,1000.0,3000.0,52,,,,-121.0,0.0,1176.0,0.0,,
12,201408,0,0.0,0.0,0.0,0.0,,2941.0,38.3,57.44,1000.0,29.0,33.83,75.45,,42.41,3000.0,5.0,12,7.49,,0.0,,,2068.79,,7.0,372.14,236.81,,268.1,414.0,0.0,,,,224.95,1000.0,,45,177.13,26.89,4.0,,,-1.0,,228.86,0.0
